,0,1,2,3,4,5,6,7,8,9,10
319,18,-9,-2,-10,-12,6,7,-6,5,14,15
320,19,-11,0,-8,-8,7,6,-7,7,15,13
321,13,-10,-1,-7,-10,3,2,-6,6,14,9
322,14,-12,3,-7,-7,4,-1,-4,3,10,9
323,11,-5,1,-4,-2,-3,-3,-4,-2,10,11
324,11,-2,-1,-1,0,-6,-7,0,-8,9,13
325,14,3,2,4,5,-9,-4,-4,-11,12,9
326,9,6,0,7,9,-9,-6,-6,-10,7,6
327,6,9,1,9,12,-6,-5,-5,-8,6,1
328,1,14,1,13,12,-6,-6,-2,-4,5,-1
329,2,10,2,8,9,0,-8,0,-2,3,0
330,0,10,6,9,12,2,-8,-4,0,2,-3
331,-9,6,4,6,6,4,-14,-2,3,-4,-9
332,-10,4,5,3,5,5,-11,-1,4,-9,-14
333,-13,6,5,8,5,-1,-9,0,1,-11,-8
334,-11,2,4,6,6,-1,-9,-2,-4,-9,-11
335,-13,6,4,10,8,-9,-9,-1,-3,-9,-12
336,-14,4,0,8,7,-8,-8,1,-7,-13,-10
337,-9,5,1,8,9,-2,1,2,-6,-8,-8
338,-6,7,-3,9,7,1,2,2,3,-6,-6
339,-5,4,-2,7,2,7,4,6,3,-5,-9
340,-5,4,-1,6,3,10,5,11,9,-10,-9
341,-6,-1,-7,-2,-3,15,2,13,12,-9,-7
342,-5,-6,-4,-2,-6,13,5,10,11,-5,-9
343,-11,-7,-5,-5,-8,12,4,9,12,-12,-12
344,-14,-10,-3,-11,-10,13,4,8,12,-13,-13
345,-12,-8,-1,-9,-9,8,6,8,9,-13,-8
346,-5,-11,-1,-11,-11,6,5,9,4,-8,-6
347,1,-9,1,-8,-7,5,10,8,5,-3,-4
348,-3,-7,-2,-9,-7,5,10,8,4,-4,-3
349,2,-9,-2,-8,-8,6,9,7,4,0,0
350,5,-6,-5,-10,-7,5,9,9,7,3,6
351,10,-8,-6,-11,-10,9,6,9,8,8,7
352,13,-6,-4,-8,-5,6,7,4,8,13,6
353,9,-5,-5,-9,-5,2,4,4,7,6,6
354,7,-5,0,-5,-4,3,1,4,4,3,-2
355,-1,-1,0,-1,-2,-2,-1,-2,0,-1,-6
356,0,-2,3,1,1,-5,1,-3,-5,-3,-5
357,0,4,6,4,6,-10,2,-9,-5,-3,-5
358,0,4,3,7,11,-7,-1,-9,-7,-4,-5
359,-4,7,4,10,14,-8,2,-9,-8,-5,-5
360,-3,11,0,12,14,-9,3,-10,-6,-7,1
361,5,10,-1,11,11,-6,-1,-6,-8,0,6
362,7,10,2,11,9,-5,-4,-4,-4,6,7
363,5,8,1,6,6,-2,-11,-1,-1,5,7
364,5,5,5,5,4,-2,-9,-2,-3,8,4
365,3,5,3,7,4,-5,-10,-5,-2,5,7
366,2,2,4,6,2,-6,-11,-7,-6,6,3
367,-1,6,4,5,7,-9,-6,-10,-4,4,-1
368,-3,3,3,3,3,-8,-4,-9,-7,1,-1
369,-1,2,2,4,4,-8,1,-7,-7,2,3
370,2,3,0,1,7,-2,5,-8,-3,3,7
371,6,-1,-3,-1,0,1,10,-4,-5,10,5
372,7,-2,-5,0,-1,0,9,-2,-1,9,10
373,10,-5,-8,-7,-4,4,8,5,-4,8,12
374,14,-5,-8,-5,-5,3,7,7,2,15,12
375,14,-6,-8,-8,-9,3,1,4,3,13,10
376,11,-8,-3,-7,-7,5,-3,2,-1,14,7
377,7,-5,-4,-6,-6,1,-3,-2,1,10,5
378,5,-5,-3,-3,-4,2,-4,-1,2,6,4
379,7,-1,-1,2,-2,0,-3,-1,2,6,5
380,6,1,-2,5,1,-1,-1,-2,0,5,6
381,7,1,-3,3,1,-2,3,0,-2,7,1
382,5,2,2,4,-1,-4,6,0,4,5,6
383,9,2,2,2,-3,4,5,7,1,5,5
384,9,4,4,1,-1,1,4,7,2,8,2
385,3,3,1,1,-1,-1,-2,8,1,4,-5
386,-2,3,4,2,1,-2,-6,5,-2,-2,-11
387,-8,5,6,4,6,0,-11,7,0,-8,-11
388,-13,6,4,5,8,1,-15,9,0,-7,-14
389,-16,8,5,8,8,-1,-10,6,1,-9,-18
390,-19,9,4,9,9,1,-7,5,2,-16,-16
391,-16,10,6,10,14,3,-4,1,1,-14,-13
392,-16,11,5,11,13,3,-3,1,4,-10,-7
393,-12,6,5,8,7,5,2,5,4,-6,-9
394,-15,7,6,6,5,4,2,0,5,-7,-8
395,-15,3,3,3,-1,4,3,0,4,-9,-7
396,-13,0,4,1,-3,8,4,0,6,-7,-7
397,-10,-3,2,-1,-5,10,5,4,11,-5,-1
398,-5,-5,-1,-4,-7,11,0,4,8,-4,-6
399,-8,-5,-4,-3,-4,8,2,1,9,-4,-7
400,-10,-5,-7,-5,-7,9,5,11,8,-9,-9
401,-7,-6,-5,-3,-4,9,8,11,6,-6,-6
402,-8,-5,-7,-7,-7,8,9,7,5,-6,-2
403,-4,-7,-9,-8,-9,7,11,2,5,-3,-6
404,2,-6,-9,-9,-9,2,15,-1,4,-2,-2
405,3,-9,-10,-11,-10,3,12,3,2,-3,2
406,7,-8,-8,-12,-8,2,10,0,0,5,7
407,10,-10,-8,-11,-9,0,7,-2,-2,8,7
408,13,-10,-5,-11,-10,-3,4,-3,-4,10,7
409,12,-7,-6,-10,-6,-6,2,-3,-4,10,8
410,15,-5,-5,-8,-6,-5,-1,2,-5,11,7
411,17,-3,-3,-3,0,-6,-1,0,-7,14,9
412,13,-2,-4,-1,1,-8,-3,-5,-9,11,10
413,9,1,0,2,3,-8,-2,-8,-11,10,3
414,7,6,5,4,6,-8,-2,-12,-6,7,6
415,10,6,3,5,6,-4,-4,-10,-3,8,10
416,12,7,8,6,8,-4,-4,-14,-4,10,12
417,11,9,8,5,5,-7,-7,-13,-7,6,8
418,10,9,11,4,6,-7,-8,-10,-8,8,3
419,5,9,13,10,9,-10,-7,-11,-8,4,1
420,4,7,12,7,8,-12,-8,-6,-10,1,-3
421,0,10,11,10,9,-16,-6,-8,-10,-1,-5
422,-7,9,4,9,8,-9,-8,-5,-8,-6,-8
423,-10,10,7,7,11,-6,-7,-3,-4,-10,-10
424,-8,12,1,10,9,-2,-4,-2,2,-7,-2
425,-1,6,-2,7,6,3,-1,-3,4,-3,-4
426,-2,5,-3,7,4,1,-2,-5,5,-1,-2
427,0,2,-6,1,2,5,-1,0,3,1,4
428,3,2,-4,-3,0,4,6,4,5,7,9
429,5,-4,-4,-2,-3,5,5,5,6,10,11
430,6,-7,-2,-6,-5,6,1,6,4,9,6
431,-1,-8,-5,-6,-3,6,4,9,7,5,0
432,-3,-11,-6,-7,-7,9,3,16,8,0,-6
433,-4,-9,-6,-4,-5,9,3,16,9,-5,-7
434,-7,-8,-10,-5,-5,7,4,12,9,-6,-4
435,-5,-7,-13,-6,-4,11,5,11,8,-5,-5
436,0,-2,-11,-1,-3,12,9,8,10,-6,-1
437,0,-3,-10,-3,-3,13,9,11,7,-5,4
438,4,-3,-4,-3,-3,9,10,6,8,1,4
439,7,-5,-3,-3,-5,7,7,5,7,8,7
440,10,-6,0,-3,-3,4,4,7,2,7,2
441,4,-1,4,-2,1,1,4,6,3,6,-1
442,1,-1,1,-2,1,2,1,10,1,0,-11
443,0,3,5,1,2,-1,0,7,1,-2,-12
444,-5,3,4,2,3,-2,-8,5,0,-8,-15
445,-7,5,4,3,6,-1,-6,4,-2,-13,-23
446,-15,7,6,7,8,-4,-7,0,0,-21,-22
447,-15,6,7,5,9,-2,-8,-5,-2,-21,-20
448,-12,10,9,8,11,-3,-7,-14,-1,-16,-17
449,-11,10,7,6,8,1,-9,-14,1,-13,-13
450,-8,8,8,6,8,0,-5,-9,0,-9,-7
451,-4,9,3,5,4,-1,-2,-5,2,-8,-1
452,0,3,4,4,2,4,-5,-4,1,-6,-3
453,-3,3,3,5,4,-3,-1,-3,4,-5,-4
454,-4,1,-3,5,2,0,-2,4,2,-9,-2
455,-3,0,-2,4,4,1,-1,7,3,-3,4
456,-1,3,-8,1,3,0,-1,7,5,-1,7
457,2,-2,-6,-1,1,1,0,5,3,2,3
458,1,2,-4,2,3,0,4,0,6,3,2
459,-2,-3,-6,0,-4,7,2,-3,5,2,5
460,2,-4,-3,-4,-4,8,4,-6,7,5,8
461,6,-9,-1,-8,-8,1,4,-4,5,8,11
462,9,-13,-3,-9,-10,2,7,-1,1,12,13
463,11,-11,-5,-9,-9,3,6,0,1,16,13
464,11,-14,-6,-13,-13,3,8,4,-1,15,13
465,10,-12,-8,-11,-12,0,10,2,0,14,10
466,10,-11,-10,-9,-10,-2,6,3,-2,10,10
467,11,-8,-9,-9,-6,-5,7,3,-5,14,6
468,7,-4,-6,-3,-4,-3,7,-2,-1,10,7
469,5,-6,-2,-3,-3,0,3,-6,-2,8,5
470,3,-2,4,0,1,-4,5,-16,-2,8,8
471,6,1,5,2,1,-5,1,-16,-7,7,6
472,7,-1,11,4,2,-5,-3,-14,-8,9,4
473,5,4,13,9,5,-11,-4,-12,-6,6,6
474,5,4,14,6,4,-10,-3,-3,-9,3,5
475,2,8,13,8,6,-13,0,-2,-7,6,1
476,1,3,8,7,4,-10,-4,-2,-8,-2,3
477,5,4,7,8,4,-10,-3,2,-8,3,2
478,4,9,5,9,4,-10,-1,2,-6,1,4
479,0,5,5,9,7,-7,-1,3,-8,-1,-8
480,-6,10,5,10,8,-4,-2,-6,-1,-6,-8
481,-7,9,3,9,7,3,-3,-7,1,-10,-6
482,-2,11,4,10,8,4,-1,-5,6,-5,-9
483,-7,13,6,8,5,5,-3,-2,8,-7,-8
484,-7,11,5,4,5,10,-3,4,6,-10,-8
485,-7,10,2,2,1,12,1,7,11,-8,-4
486,-4,3,-3,-2,-6,14,-5,13,11,-5,-4
487,-2,1,-1,-4,-5,6,-3,17,6,-1,-4
488,-2,-1,-7,-7,-7,6,-4,16,2,2,3
489,2,-4,-11,-7,-10,7,0,15,2,6,2
490,1,-6,-9,-5,-9,8,3,14,8,6,4
491,-6,-9,-9,-7,-6,11,5,13,6,3,0
492,-10,-6,-7,-5,-4,9,9,12,5,0,-5
493,-11,-6,-9,-3,-6,7,8,8,6,-5,-6
494,-10,-5,-6,-2,-5,9,7,7,8,-5,-8
495,-11,-2,-9,-2,-2,9,6,7,12,-7,-4
496,-9,-3,-8,0,-3,7,3,9,7,-7,-8
497,-8,-2,-9,2,0,3,3,7,10,-9,-5
498,-6,-3,-9,0,0,5,-3,8,6,-9,-2
499,-2,0,-8,-1,1,2,-3,4,1,-2,-4
500,-1,0,-6,3,0,-4,-4,-1,-3,1,0
501,3,0,0,4,2,-5,-3,0,-7,-1,-1
502,4,2,2,5,6,-6,-1,-6,-5,1,4
503,8,6,0,6,6,-4,-3,-9,-4,2,4
504,10,3,6,5,4,-6,-1,-8,-5,5,-2
505,3,7,8,8,6,-4,-2,-11,-7,-1,-7
506,-4,5,9,6,7,-2,-7,-11,-8,-7,-10
507,-5,6,10,8,8,-4,-7,-11,-1,-7,-9
508,-1,6,5,7,5,1,-6,-7,1,-6,-8
509,-3,7,5,7,5,1,-5,-3,1,-4,-10
510,-5,9,1,6,5,-5,-6,-7,-4,-8,-8
511,1,6,5,5,1,-7,-3,-4,-6,-6,-2
512,5,5,6,3,0,-9,-1,-4,-3,2,5
513,11,0,1,-4,-6,-7,3,-8,-4,6,12
514,17,-2,4,-7,-8,-8,5,-8,-4,13,12
515,19,-5,6,-10,-9,-3,1,-8,1,10,14
516,18,-8,5,-9,-10,3,3,-4,5,14,12
517,12,-8,1,-8,-8,3,0,-9,10,11,9
518,9,-8,-1,-8,-9,4,0,-3,8,9,6
519,6,-6,-2,-3,-5,5,3,0,10,9,5
520,4,-2,-7,-4,-2,6,2,3,6,3,6
521,4,-4,-6,-3,-5,1,4,4,5,3,2
522,2,-2,-6,-4,-3,-2,6,4,3,6,6
523,8,-5,-7,-5,-5,0,2,5,-6,8,7
524,10,-4,-3,-4,-6,-2,5,4,-4,12,10
525,11,-6,-3,-5,-8,-5,7,6,-6,13,14
526,14,-6,0,-5,-9,-4,4,4,-6,15,12
527,8,-7,-1,-3,-6,-2,3,1,-4,9,7
528,2,-6,-1,-4,-3,0,1,3,-5,6,0
529,2,-1,3,1,4,-2,3,4,-1,3,-5
530,-3,2,1,4,7,1,0,4,-2,-3,-12
531,-10,4,2,6,10,-1,0,-2,-3,-8,-16
532,-17,9,5,8,12,-4,2,-2,-2,-13,-14
533,-9,10,6,10,11,-3,-1,1,-3,-11,-13
534,-9,12,11,10,12,-3,-1,2,-3,-10,-10
535,-10,10,11,8,10,-1,-2,1,-2,-9,-15
536,-12,8,12,8,10,0,0,1,-1,-11,-17
537,-15,7,13,8,7,1,-6,-1,-1,-17,-16
538,-11,4,9,4,6,3,-7,4,-3,-14,-15
539,-11,7,8,1,5,3,-1,1,3,-11,-12
540,-9,4,0,3,0,8,-1,4,6,-15,-13
541,-10,5,-3,5,4,11,0,4,9,-13,-10
542,-8,7,-6,1,4,13,1,5,10,-10,-6
543,-6,5,-10,1,2,13,3,7,10,-6,-6
544,-7,7,-11,3,5,12,1,7,12,-7,-5
545,-6,6,-11,-1,5,15,-4,7,11,-6,-2
546,-1,3,-11,1,3,12,0,5,12,-2,1
547,-1,-2,-12,-1,-3,9,-3,10,10,1,8
548,3,-5,-10,-5,-3,7,-3,9,6,5,8
549,5,-5,-9,-6,-5,8,2,7,5,7,10
550,6,-9,-12,-6,-10,7,1,7,6,8,8
551,8,-9,-9,-7,-8,4,1,5,7,8,9
552,10,-7,-11,-9,-7,7,0,2,7,11,13
553,14,-6,-9,-9,-7,8,1,-3,7,14,12
554,12,-7,-8,-5,-5,4,1,-7,6,14,13
555,12,-5,-5,-6,-5,2,-1,-5,1,13,9
556,10,0,-3,-1,0,-1,1,-10,-4,10,6
557,5,0,-1,0,-2,-3,-5,-9,-8,3,5
558,4,0,5,2,1,-6,-5,-8,-9,2,2
559,2,4,8,4,3,-7,-4,-9,-9,1,4
560,2,4,7,1,4,-11,-6,-7,-12,3,1
561,-1,4,10,3,7,-11,-5,-10,-9,-1,-2
562,-2,7,9,6,4,-5,-7,-8,-9,-4,1
563,2,6,7,5,5,-4,-1,-13,-8,2,3
564,1,5,7,5,4,-7,0,-12,-9,5,3
565,3,2,6,3,4,-7,3,-11,-10,5,0
566,-4,4,9,1,7,-7,8,-17,-9,1,-1
567,-1,2,5,0,3,-3,7,-14,-7,-2,-2
568,1,1,7,0,3,-3,11,-8,-6,2,0
569,1,2,6,2,0,-2,7,0,-5,0,-1
570,-1,-1,6,1,0,3,4,3,-2,-2,-5
571,-2,2,5,6,1,3,5,3,5,-7,-5
572,0,0,4,5,-2,5,3,5,6,-4,-3
573,3,1,6,5,1,2,0,5,5,-1,-3
574,1,0,0,4,0,1,-2,8,5,-1,4
575,5,-2,-2,-1,-7,-3,5,8,0,1,5
576,7,-3,-5,-4,-8,-5,9,7,1,5,8
577,9,-6,-8,-12,-12,-2,10,6,-5,5,5
578,8,-8,-5,-13,-10,-3,12,7,-3,7,3
579,5,-7,-9,-13,-10,0,8,10,2,4,3
580,7,-8,-9,-13,-10,5,6,9,4,7,0
581,1,-6,-6,-11,-8,6,5,8,3,5,3
582,0,-5,-4,-10,-6,9,4,11,3,4,-4
583,-4,0,-4,-1,-1,4,1,9,7,-2,-8
584,-9,2,-5,5,2,6,-3,6,4,-6,-4
585,-7,4,-2,4,7,4,-1,5,2,-3,0
586,-5,7,-2,5,6,1,1,7,2,-3,1
587,-6,2,-1,6,5,-2,-1,5,-5,-3,-6
588,-12,3,3,4,8,-5,-4,-2,-4,-4,-7
589,-13,3,2,2,3,-3,-4,0,-3,-7,-4
590,-9,0,4,4,5,-3,-1,-1,-1,-5,-5
591,-12,3,5,4,5,-4,-4,-4,-1,-8,-6
592,-14,5,8,3,9,-1,-8,0,-2,-11,-14
593,-14,6,8,7,11,1,-6,-2,3,-14,-10
594,-12,4,7,9,9,4,-7,2,4,-14,-7
595,-7,8,7,7,13,5,-5,1,4,-9,-7
596,-9,9,6,8,11,3,-4,4,6,-9,-6
597,-6,8,5,8,6,7,-3,3,3,-9,-9
598,-6,8,5,11,7,5,-1,-1,7,-8,-5
599,1,5,-1,4,1,8,-1,-1,5,-5,-2
600,5,2,-1,0,0,5,2,-1,2,2,-2
601,2,-3,-3,-1,-4,2,-1,0,3,0,-1
602,2,-5,-1,-5,-4,6,1,-1,2,-1,-1
603,6,-3,-3,-4,-4,5,3,0,7,3,7
604,12,-6,-5,-7,-7,8,1,4,6,5,11
605,15,-3,-4,-3,-3,6,0,3,7,12,11
606,16,-2,-9,-3,-1,8,0,6,8,11,14
607,19,-2,-13,-3,0,6,3,0,5,17,13
608,17,-2,-13,0,-1,1,5,-1,6,16,16
609,18,-3,-15,-3,-4,0,3,-1,1,16,13
610,14,-1,-14,-4,-4,-5,3,-3,0,17,8
611,11,-5,-13,-4,-6,-5,2,-4,-3,9,8
612,12,-4,-8,-4,-9,-6,3,-4,-4,10,10
613,12,-4,-5,-4,-4,-8,3,-3,-3,10,12
614,11,-8,-2,-5,-6,-7,-2,1,-8,12,5
615,9,-5,1,-2,-1,-10,-3,1,-6,10,6
616,9,0,4,-2,1,-6,-4,-2,-8,9,13
617,15,0,5,3,3,-8,0,-7,-8,15,13
618,9,0,4,4,2,-11,-1,-9,-11,14,9
619,1,2,6,4,2,-10,-2,-5,-11,8,2
620,-7,5,5,8,6,-10,2,-10,-7,-2,-4
621,-11,9,2,6,4,-9,1,-10,-10,-8,-8
622,-11,4,5,6,3,-7,7,-9,-7,-9,-13
623,-18,6,4,5,4,-4,3,-5,-7,-11,-17
624,-20,4,6,3,2,0,0,-6,-3,-13,-17
625,-16,2,10,4,2,1,1,-7,2,-14,-12
626,-8,0,11,4,0,5,-3,-1,2,-12,-7
627,-6,3,14,1,2,4,-4,5,4,-4,-8
628,-5,1,11,-1,0,6,-4,8,3,-6,-7
629,-3,-2,10,-1,0,6,1,9,4,-5,-6
630,-4,2,6,1,2,5,3,7,4,-6,-5
631,-5,2,2,0,1,4,2,10,1,-6,-9
632,-6,2,-2,0,4,4,3,12,5,-8,-10
633,-6,3,-8,1,4,5,2,7,4,-13,-6
634,-3,0,-8,-1,2,8,3,2,5,-10,-3
